time,lot,variable,value
2019-01-02,accu,daily_mean,158.763888888889
2019-01-02,albisriederplatz,daily_mean,63.7673611111111
2019-01-02,amcentral,daily_mean,12.6111111111111
2019-01-02,bleicherweg,daily_mean,195.770833333333
2019-01-02,centereleven,daily_mean,297.572916666667
2019-01-02,cityparking,daily_mean,440.083333333333
2019-01-02,cityport,daily_mean,123.65625
2019-01-02,crowneplaza,daily_mean,303.881944444444
2019-01-02,dorflinde,daily_mean,41.75
2019-01-02,eisfeld,daily_mean,114.770833333333
2019-01-02,feldegg,daily_mean,137.048611111111
2019-01-02,globus,daily_mean,85.4479166666667
2019-01-02,hardauii,daily_mean,101.760416666667
2019-01-02,hauptbahnhof,daily_mean,119.607638888889
2019-01-02,hohepromenade,daily_mean,402.677083333333
2019-01-02,horn,daily_mean,58.6666666666667
2019-01-02,jelmoli,daily_mean,120.725694444444
2019-01-02,jungholz,daily_mean,127.149305555556
2019-01-02,maxbillplatz,daily_mean,88.53125
2019-01-02,messeag,daily_mean,999
2019-01-02,nordhaus,daily_mean,152.315972222222
2019-01-02,octavo,daily_mean,108.284722222222
2019-01-02,opera,daily_mean,0
2019-01-02,parkhyatt,daily_mean,191.045138888889
2019-01-02,parkside,daily_mean,35.8923611111111
2019-01-02,pfingstweid,daily_mean,242.618055555556
2019-01-02,pwest,daily_mean,346.427083333333
2019-01-02,stampfenbach,daily_mean,173.201388888889
2019-01-02,talgarten,daily_mean,81.2847222222222
2019-01-02,theater11,daily_mean,139.013888888889
2019-01-02,total,daily_mean,6632.39930555556
2019-01-02,total,utilization,0.534957195156925
2019-01-02,uniirchel,daily_mean,717.340277777778
2019-01-02,urania,daily_mean,283.395833333333
2019-01-02,usznord,daily_mean,0
2019-01-02,uszsued,daily_mean,0
2019-01-02,utoquai,daily_mean,124.774305555556
2019-01-02,zueri11shopping,daily_mean,43.5625
2019-01-03,accu,daily_mean,152.471111111111
2019-01-03,albisriederplatz,daily_mean,61.1866666666667
2019-01-03,amcentral,daily_mean,15.8933333333333
2019-01-03,bleicherweg,daily_mean,138.622222222222
2019-01-03,centereleven,daily_mean,272.386666666667
2019-01-03,cityparking,daily_mean,383.462222222222
2019-01-03,cityport,daily_mean,101.933333333333
2019-01-03,crowneplaza,daily_mean,255.808888888889
2019-01-03,dorflinde,daily_mean,43.8622222222222
2019-01-03,eisfeld,daily_mean,54.9777777777778
2019-01-03,feldegg,daily_mean,120.133333333333
2019-01-03,globus,daily_mean,66.6266666666667
2019-01-03,hardauii,daily_mean,103.168888888889
2019-01-03,hauptbahnhof,daily_mean,90.3822222222222
2019-01-03,hohepromenade,daily_mean,364.715555555556
2019-01-03,horn,daily_mean,49.44
2019-01-03,jelmoli,daily_mean,107.04
2019-01-03,jungholz,daily_mean,122.444444444444
2019-01-03,maxbillplatz,daily_mean,83.9866666666667
2019-01-03,messeag,daily_mean,999
2019-01-03,nordhaus,daily_mean,133.76
2019-01-03,octavo,daily_mean,77.8533333333333
2019-01-03,opera,daily_mean,64.4933333333333
2019-01-03,parkhyatt,daily_mean,165.111111111111
2019-01-03,parkside,daily_mean,19.5955555555556
2019-01-03,pfingstweid,daily_mean,209.733333333333
2019-01-03,pwest,daily_mean,329.551111111111
2019-01-03,stampfenbach,daily_mean,147.364444444444
2019-01-03,talgarten,daily_mean,52.0622222222222
2019-01-03,theater11,daily_mean,159.826666666667
2019-01-03,total,daily_mean,5952.16444444445
2019-01-03,total,utilization,0.480090695631912
2019-01-03,uniirchel,daily_mean,620.168888888889
2019-01-03,urania,daily_mean,239.991111111111
